province,district,month,direction,freq_pct
Istanbul,Üsküdar,3,NE,33.28
Istanbul,Üsküdar,3,E,5.4
Istanbul,Üsküdar,3,SE,6.79
Istanbul,Üsküdar,3,S,11.29
Istanbul,Üsküdar,3,SW,20.47
Istanbul,Üsküdar,3,W,3.33
Istanbul,Üsküdar,3,NW,3.83
Istanbul,Üsküdar,4,N,14.06
Istanbul,Üsküdar,4,NE,36.99
Istanbul,Üsküdar,4,E,5.58
Istanbul,Üsküdar,4,SE,6.33
Istanbul,Üsküdar,4,S,9.46
Istanbul,Üsküdar,4,SW,19.56
Istanbul,Üsküdar,4,W,5.06
Istanbul,Üsküdar,4,NW,2.97
Istanbul,Üsküdar,5,N,15.51
Istanbul,Üsküdar,5,NE,40.71
Istanbul,Üsküdar,5,E,5.26
Istanbul,Üsküdar,5,SE,4.84
Istanbul,Üsküdar,5,S,7.39
Istanbul,Üsküdar,5,SW,16.53
Istanbul,Üsküdar,5,W,5.93
Istanbul,Üsküdar,5,NW,3.83
Istanbul,Üsküdar,6,N,18.25
Istanbul,Üsküdar,6,NE,50.49
Istanbul,Üsküdar,6,E,4.28
Istanbul,Üsküdar,6,SE,2.15
Istanbul,Üsküdar,6,S,4.33
Istanbul,Üsküdar,6,SW,12.65
Istanbul,Üsküdar,6,W,3.78
Istanbul,Üsküdar,6,NW,4.07
Istanbul,Üsküdar,7,N,17.47
Istanbul,Üsküdar,7,NE,67.93
Istanbul,Üsküdar,7,E,4.03
Istanbul,Üsküdar,7,SE,0.86
Istanbul,Üsküdar,7,S,1.38
Istanbul,Üsküdar,7,SW,3.6
Istanbul,Üsküdar,7,W,2.11
Istanbul,Üsküdar,7,NW,2.61
Istanbul,Üsküdar,8,N,15.78
Istanbul,Üsküdar,8,NE,75.22
Istanbul,Üsküdar,8,E,1.99
Istanbul,Üsküdar,8,SE,0.81
Istanbul,Üsküdar,8,S,0.86
Istanbul,Üsküdar,8,SW,2.34
Istanbul,Üsküdar,8,W,1.64
Istanbul,Üsküdar,8,NW,1.37
Istanbul,Üsküdar,9,N,12.78
Istanbul,Üsküdar,9,NE,60.33
Istanbul,Üsküdar,9,E,4.97
Istanbul,Üsküdar,9,SE,3.99
Istanbul,Üsküdar,9,S,3.83
Istanbul,Üsküdar,9,SW,9.08
Istanbul,Üsküdar,9,W,2.56
Istanbul,Üsküdar,9,NW,2.46
Istanbul,Üsküdar,10,N,11.2
Istanbul,Üsküdar,10,NE,53.52
Istanbul,Üsküdar,10,E,6.61
Istanbul,Üsküdar,10,SE,4.85
Istanbul,Üsküdar,10,S,5.93
Istanbul,Üsküdar,10,SW,10.86
Istanbul,Üsküdar,10,W,4.1
Istanbul,Üsküdar,10,NW,2.93
Istanbul,Üsküdar,11,N,10.39
Istanbul,Üsküdar,11,NE,40.18
Istanbul,Üsküdar,11,E,7.15
Istanbul,Üsküdar,11,SE,7.86
Istanbul,Üsküdar,11,S,9.01
Istanbul,Üsküdar,11,SW,18.89
Istanbul,Üsküdar,11,W,3.5
Istanbul,Üsküdar,11,NW,3.01
